"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.294999999E-3,-2.231405666E-1,-9.354083240E-2,-1.068604388E0
1.427600000E-2,-9.923280448E-2,-1.164940774E-1,-1.146018015E0
2.425700000E-2,-1.417715907E-2,-1.893351817E-1,-9.172673374E-1
3.423700000E-2,1.298920950E-1,-3.256589216E-1,-7.689521277E-1
4.421800000E-2,2.458878435E-1,-4.819795543E-1,-8.191715240E-1
5.419900000E-2,3.666783088E-1,-5.356283426E-1,-8.702902222E-1
6.418000000E-2,4.687147070E-1,-5.952576631E-1,-9.100021720E-1
7.416000000E-2,4.711220057E-1,-6.190347809E-1,-1.022320168E0
8.414100000E-2,3.858269168E-1,-5.595820463E-1,-1.224540859E0
9.412200000E-2,2.094959427E-1,-4.243938357E-1,-1.550796781E0
1.041020000E-1,3.095662147E-3,-2.452591217E-1,-1.815739385E0
1.140830000E-1,-1.758200736E-1,-1.018736994E-1,-1.923167939E0
1.240640000E-1,-2.334170482E-1,-3.757888556E-2,-1.813672394E0
1.340440000E-1,-2.226398988E-1,1.713117242E-2,-1.669007601E0
1.440250000E-1,-2.514745657E-1,1.506710529E-2,-1.427553847E0
1.540060000E-1,-2.378474835E-1,-3.727366090E-2,-1.083078586E0
1.639860000E-1,-2.557842560E-1,1.053960621E-2,-7.387688005E-1
1.739670000E-1,-2.058544430E-1,5.615081191E-2,-3.824523425E-1
1.839480000E-1,-1.666658190E-1,9.225561440E-2,-7.592843413E-2
1.939290000E-1,-2.669060987E-1,2.435435486E-1,-7.887075305E-2
2.039090000E-1,-4.659517515E-1,4.080467749E-1,-9.320871055E-2
2.138900000E-1,-7.408188343E-1,5.354026401E-1,1.830377305E-1
2.238710000E-1,-1.024789082E0,6.167128515E-1,5.547054684E-1
2.338510000E-1,-1.260885105E0,6.498770893E-1,8.621298480E-1
2.438320000E-1,-1.247884113E0,7.626704639E-1,9.623634034E-1
2.538130000E-1,-1.109441927E0,9.103898424E-1,6.903673035E-1
2.637930000E-1,-8.611015420E-1,1.152135372E0,2.299522805E-1
2.737740000E-1,-3.937111562E-1,1.460949050E0,-2.391598910E-1
2.837550000E-1,-1.344387437E-1,1.781855355E0,-5.471420950E-1
2.937350000E-1,-2.065292848E-1,2.134618460E0,-5.541815579E-1
3.037160000E-1,-6.241264632E-1,2.337028016E0,-1.089786512E-1
3.136970000E-1,-1.112427369E0,2.282054248E0,8.208485055E-1
3.236770000E-1,-1.526268004E0,1.926526580E0,1.995330182E0
3.336580000E-1,-1.765155122E0,1.486549330E0,3.253415932E0
3.436390000E-1,-1.602379456E0,1.071326267E0,4.211529579E0
3.536200000E-1,-1.263585349E0,6.825027984E-1,4.637569991E0
3.636000000E-1,-8.810207400E-1,3.587950927E-1,4.762122701E0
3.735810000E-1,-5.610228733E-1,1.306215352E-1,4.508860495E0
3.835620000E-1,-1.843636597E-1,-1.284972417E-1,3.979713206E0
3.935420000E-1,3.337380195E-1,-3.131242454E-1,3.244533427E0
4.035230000E-1,7.409325626E-1,-4.738419843E-1,2.188488858E0
4.135040000E-1,1.089916905E0,-6.557301521E-1,9.406766653E-1
4.234840000E-1,1.449695207E0,-8.251251590E-1,-2.759499872E-1
4.334650000E-1,1.641276450E0,-9.406550306E-1,-1.149080202E0
4.434460000E-1,1.484812853E0,-9.914883846E-1,-1.763588068E0
4.534260000E-1,1.096159977E0,-8.520434010E-1,-1.980592275E0
4.634070000E-1,7.206307375E-1,-7.197150636E-1,-2.079238311E0
4.733880000E-1,4.526456083E-1,-6.592659634E-1,-2.289164463E0
4.833690000E-1,2.860728331E-1,-6.114994740E-1,-2.370415033E0
4.933490000E-1,7.747129507E-2,-6.197732842E-1,-2.430871149E0
5.033300000E-1,-1.958946613E-1,-6.973003471E-1,-2.422821288E0
5.133100000E-1,-4.089864224E-1,-7.741397774E-1,-2.254761200E0
5.232910000E-1,-5.360893225E-1,-8.661328518E-1,-2.045307503E0
5.332720000E-1,-6.244320533E-1,-1.020386494E0,-1.793980726E0
5.432530000E-1,-5.999361666E-1,-1.133575725E0,-1.573623726E0
5.532330000E-1,-3.737108282E-1,-1.249052387E0,-1.390701186E0
5.632140000E-1,-3.149858527E-2,-1.293335105E0,-1.228712263E0
5.731950000E-1,2.016006667E-1,-1.343804762E0,-1.102347500E0
5.831750000E-1,3.162147181E-1,-1.381257933E0,-1.028004831E0
5.931560000E-1,4.192980603E-1,-1.366843377E0,-9.713131517E-1
6.031370000E-1,5.876195915E-1,-1.348308288E0,-8.867717689E-1
6.131170000E-1,6.987978921E-1,-1.255161558E0,-8.329902488E-1
6.230980000E-1,7.023621355E-1,-1.178979355E0,-7.514408863E-1
6.330790000E-1,7.818624875E-1,-1.051975492E0,-6.755387646E-1
6.430590000E-1,8.930203959E-1,-8.026788676E-1,-6.319413400E-1
6.530400000E-1,9.126895523E-1,-6.768140423E-1,-7.490587306E-1
6.630210000E-1,9.878067584E-1,-5.254208583E-1,-8.201053244E-1
6.730010000E-1,1.110819970E0,-3.682389307E-1,-8.515814710E-1
6.829820000E-1,1.030080593E0,-2.414718801E-1,-8.331650805E-1
6.929630000E-1,8.553934170E-1,-1.936656296E-2,-7.935437626E-1
7.029440000E-1,6.651666811E-1,1.600043786E-1,-7.681066203E-1
7.129240000E-1,5.458228169E-1,3.181101662E-1,-7.144274265E-1
7.229050000E-1,6.581507532E-1,5.060157037E-1,-6.661691862E-1
7.328860000E-1,7.350678053E-1,6.788225609E-1,-6.743038327E-1
7.428660000E-1,7.396219824E-1,8.517709208E-1,-7.045719445E-1
7.528470000E-1,7.255122124E-1,9.334366429E-1,-5.683633947E-1
7.628280000E-1,6.757897563E-1,1.020368367E0,-2.956603664E-1
7.728080000E-1,5.295006799E-1,1.120028311E0,1.334743917E-2
7.827890000E-1,4.693279338E-1,1.238247902E0,2.023417282E-1
7.927700000E-1,5.678883085E-1,1.296861561E0,3.216453928E-1
8.027500000E-1,7.271386886E-1,1.275195288E0,2.870029789E-1
8.127310000E-1,9.172569586E-1,1.207282802E0,2.443107033E-1
8.227120000E-1,1.010690933E0,1.109640732E0,2.717686433E-1
8.326920000E-1,1.129695147E0,1.018340553E0,3.016806597E-1
8.426730000E-1,1.201630518E0,9.651466781E-1,4.611541110E-1
8.526540000E-1,1.103352052E0,9.226689953E-1,7.137491494E-1
8.626340000E-1,8.391477323E-1,8.868103606E-1,1.050364584E0
8.726150000E-1,6.041477698E-1,8.825635278E-1,1.450105389E0
8.825950833E-1,3.900179818E-1,8.759386325E-1,1.737449845E0
8.925760833E-1,1.618922252E-1,8.736091018E-1,1.906303985E0
9.025560833E-1,2.973316468E-2,9.826801389E-1,2.000465791E0
9.125370833E-1,3.729529560E-2,1.166263999E0,2.069262376E0
9.225180833E-1,1.166594075E-1,1.343308918E0,2.031343768E0
9.324980833E-1,1.505058691E-1,1.390015892E0,1.877825121E0
9.424790833E-1,2.190057812E-1,1.533067439E0,1.726627818E0
9.524600833E-1,3.116617837E-1,1.714630501E0,1.651931977E0
9.624400833E-1,2.237262384E-1,1.806538206E0,1.432814003E0
9.724210833E-1,-8.742742226E-2,1.814387509E0,1.059530094E0
9.824020833E-1,-5.967925572E-1,1.707445443E0,7.296301872E-1
9.923820833E-1,-1.117885891E0,1.553684136E0,4.742138672E-1
1.002363083E0,-1.493306518E0,1.274533968E0,3.482888156E-1
1.012344083E0,-1.550518746E0,8.724846822E-1,4.350422001E-1
1.022324083E0,-1.196120175E0,4.253182805E-1,8.724572003E-1
1.032305083E0,-5.757048663E-1,-2.521962583E-2,1.418272562E0
1.042286083E0,-9.161344394E-2,-5.449961668E-1,1.817590029E0
1.052266083E0,2.414201322E-1,-9.170504057E-1,2.028996695E0
1.062247083E0,5.149577044E-1,-1.147368137E0,2.037220804E0
1.072228083E0,7.126235604E-1,-1.376323467E0,1.743547322E0
1.082208083E0,6.798885083E-1,-1.550799705E0,1.222563331E0
1.092189083E0,4.458453695E-1,-1.635711801E0,5.223440534E-1
1.102170083E0,1.692211984E-1,-1.666630123E0,-2.415677744E-1
1.112150083E0,5.158779100E-2,-1.659769000E0,-1.024311145E0
1.122131083E0,8.486502618E-2,-1.674322135E0,-1.730485811E0
1.132112083E0,1.967165606E-1,-1.688177113E0,-2.214742271E0
1.142092083E0,1.843266030E-1,-1.679726717E0,-2.438505859E0
1.152073083E0,2.720148110E-1,-1.579180335E0,-2.509106895E0
1.162054083E0,5.215539484E-1,-1.479322756E0,-2.476592867E0
1.172035083E0,7.293673548E-1,-1.385874310E0,-2.410256791E0
1.182015083E0,9.269506920E-1,-1.273079765E0,-2.195113753E0
1.191996083E0,1.116267163E0,-1.192151377E0,-1.936399603E0
1.201977083E0,1.315712692E0,-1.079204805E0,-1.663639857E0
1.211957083E0,1.404211178E0,-9.281191850E-1,-1.464326987E0
1.221938083E0,1.462722657E0,-7.415450585E-1,-1.374268756E0
1.231919083E0,1.423557568E0,-6.039454561E-1,-1.370530046E0
1.241899083E0,1.253068255E0,-4.680286825E-1,-1.425353540E0
1.251880083E0,1.027649832E0,-2.999931532E-1,-1.465307565E0
1.261861083E0,7.751391397E-1,-1.591781670E-1,-1.466813807E0
1.271841083E0,5.890151757E-1,-5.347804964E-2,-1.427007717E0
1.281822083E0,5.545054206E-1,4.515804648E-2,-1.318457667E0
1.291803083E0,5.782888240E-1,1.381159115E-1,-1.149378410E0
1.301783083E0,5.780637793E-1,1.901327419E-1,-9.711517686E-1
1.311764083E0,5.127562277E-1,1.824319589E-1,-7.504082680E-1
1.321745083E0,2.701282800E-1,1.757023984E-1,-4.320583659E-1
1.331725083E0,1.516563819E-1,2.551128495E-1,-4.255954385E-2
1.341706083E0,1.393511358E-1,3.367048967E-1,3.091171485E-1
1.351687083E0,6.083867088E-2,3.150029558E-1,3.787569022E-1
1.361667083E0,1.071827520E-1,3.570070142E-1,2.207674742E-1
1.371648083E0,3.585991379E-1,4.799926704E-1,-8.433614552E-2
1.381629083E0,3.849076615E-1,5.465848553E-1,-4.892862350E-1
1.391609083E0,3.403051005E-1,5.651842636E-1,-7.322514939E-1
1.401590083E0,2.041184778E-1,6.796522808E-1,-8.027139509E-1
1.411571083E0,-9.976672836E-2,8.164923298E-1,-7.305920541E-1
1.421551083E0,-5.602232666E-1,9.416092962E-1,-6.823045778E-1
1.431532083E0,-8.750035165E-1,1.077033734E0,-7.277994239E-1
1.441513083E0,-8.712794980E-1,1.167785445E0,-8.275494146E-1
1.451493083E0,-6.620236565E-1,1.226507862E0,-7.790151858E-1
1.461474083E0,-5.839453474E-1,1.194145862E0,-5.574986833E-1
1.471455083E0,-7.003340288E-1,9.937904334E-1,-8.379995584E-2
1.481435083E0,-6.344474566E-1,8.570035940E-1,5.506106633E-1
1.491416083E0,-3.726300069E-1,8.284744442E-1,1.126511119E0
1.501397083E0,4.528178819E-2,8.878926802E-1,1.428029811E0
1.511377083E0,5.857984396E-1,1.053862973E0,1.217658686E0
1.521358083E0,9.865409093E-1,1.257160136E0,5.059876370E-1
1.531339083E0,1.097039398E0,1.598222378E0,-2.470255655E-1
1.541319083E0,9.473495078E-1,2.095172558E0,-7.957312059E-1
1.551300083E0,5.003474128E-1,2.384965244E0,-1.257063657E0
1.561281083E0,-7.096900854E-2,2.362673319E0,-1.328907226E0
1.571261083E0,-3.991348142E-1,1.965280171E0,-6.613961041E-1
1.581242083E0,-4.197139435E-1,1.292227058E0,7.192987418E-1
