"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.439970970E-3,6.062003113E1,2.484899053E1,1.083502965E2,NaN,NaN,1.983131899E1,3.000000000E1
7.754087448E-3,6.062003278E1,2.484892201E1,1.080431611E2,NaN,NaN,2.859501400E1,3.006425993E1
9.042978287E-3,6.061996109E1,2.484915920E1,1.065900465E2,NaN,NaN,2.545330707E1,3.000000000E1
3.185999393E-2,6.061996058E1,2.484915875E1,1.065900465E2,NaN,NaN,2.544940004E1,3.000006138E1
8.080540895E-1,6.061989431E1,2.484894836E1,1.079768358E2,NaN,NaN,2.448402411E1,3.000000000E1
2.448807001E0,6.061990850E1,2.484922219E1,1.093958706E2,1.094497442E0,NaN,1.549044753E1,1.365740299E1
3.448801517E0,6.061991472E1,2.484928869E1,1.082376406E2,1.229505539E0,NaN,1.354140512E1,3.201604843E1
4.448796391E0,6.061991658E1,2.484929892E1,1.054547303E2,0.000000000E0,NaN,1.327283272E1,1.307389164E1
5.448790908E0,6.061992006E1,2.484930668E1,1.064272986E2,1.229505539E0,NaN,1.308299855E1,1.038470078E1
6.448785424E0,6.061992595E1,2.484931640E1,1.065282574E2,1.336711764E0,NaN,1.293252241E1,1.984825706E1
7.448779583E0,6.061992792E1,2.484932925E1,1.060339446E2,1.217382431E0,NaN,1.274595648E1,1.909908867E1
8.448837876E0,6.061999013E1,2.484943808E1,1.065019235E2,1.217382431E0,NaN,1.364990865E1,1.825956535E1
9.448844552E0,6.062002329E1,2.484962248E1,1.033995457E2,1.129626274E0,6.025721976E1,5.715880943E0,8.514300346E0
1.044883871E1,6.062002014E1,2.484966834E1,1.018177460E2,1.107188106E0,6.141394645E1,5.266678317E0,7.266173363E0
1.133862531E1,6.062002034E1,2.484968857E1,1.016963748E2,1.129626274E0,6.042203906E1,4.481952864E0,6.217880726E0
1.233952379E1,6.062002178E1,2.484970292E1,1.014841678E2,1.135910392E0,5.976970135E1,4.420821675E0,5.403242111E0
1.334036314E1,6.062002342E1,2.484972909E1,1.006581488E2,1.258987188E0,5.936101698E1,4.345496402E0,4.797636986E0
1.434115827E1,6.062002656E1,2.484975518E1,1.002312660E2,1.258987188E0,5.911893459E1,4.268334421E0,4.447747231E0
1.534190631E1,6.062003236E1,2.484977492E1,1.002313616E2,1.258987188E0,5.911895178E1,4.748651530E0,4.948253724E0
1.634263968E1,6.062003469E1,2.484979624E1,9.947745083E1,1.333418489E0,5.761439161E1,4.748651530E0,4.616579701E0
1.734329224E1,6.062003606E1,2.484980596E1,9.852073050E1,1.247779369E0,5.358022723E1,4.748651530E0,4.348562419E0
1.834390461E1,6.062003950E1,2.484982354E1,9.796358209E1,1.247779369E0,5.389980501E1,4.748651530E0,4.283356477E0
1.934450269E1,6.062004310E1,2.484984012E1,9.715514182E1,1.177191138E0,5.186407265E1,4.748651530E0,5.560344549E0
2.034503794E1,6.062004702E1,2.484986173E1,9.689682802E1,1.177191138E0,5.882316244E1,4.748651530E0,5.270773268E0
2.134553421E1,6.062005040E1,2.484988617E1,9.649583771E1,1.214454293E0,6.033937641E1,4.748651530E0,5.254259059E0
2.234601355E1,6.062005451E1,2.484991137E1,9.619166300E1,1.271979332E0,5.853509362E1,4.748651530E0,5.159920614E0
2.334642327E1,6.062005789E1,2.484993598E1,9.606591312E1,1.271979332E0,6.022219163E1,4.748651530E0,5.225643812E0
2.434680676E1,6.062006548E1,2.484996056E1,9.592641095E1,1.301709533E0,5.826002177E1,4.748651530E0,5.263421362E0
2.534716439E1,6.062007390E1,2.484998326E1,9.551932332E1,1.294004560E0,5.563929464E1,4.748651530E0,6.061579404E0
2.634750211E1,6.062008078E1,2.485000646E1,9.530422688E1,1.319161773E0,5.816767100E1,4.748651530E0,7.080610695E0
2.734781718E1,6.062008813E1,2.485002503E1,9.514228550E1,1.309854269E0,5.489899781E1,4.748651530E0,7.965497411E0
2.834811211E1,6.062009442E1,2.485004715E1,9.497947286E1,1.319161773E0,5.428150089E1,4.748651530E0,8.636058316E0
2.934839046E1,6.062010087E1,2.485007120E1,9.490640476E1,1.346048832E0,5.768959217E1,4.748651530E0,9.175919665E0
3.034864950E1,6.062010711E1,2.485009631E1,9.500458217E1,1.370848298E0,6.070284716E1,4.748651530E0,9.590773659E0
3.134889472E1,6.062011247E1,2.485012098E1,9.494620894E1,1.368210316E0,6.205960981E1,4.748651530E0,1.017053887E1
3.234912205E1,6.062011989E1,2.485014003E1,9.511722137E1,1.369392037E0,5.729687019E1,4.748651530E0,1.056605101E1
3.334933603E1,6.062012642E1,2.485016105E1,9.500901109E1,1.368860841E0,5.576098230E1,4.748651530E0,1.093464610E1
3.434953725E1,6.062013213E1,2.485018321E1,9.483834852E1,1.368860841E0,5.607730209E1,4.748651530E0,1.130484703E1
3.534972644E1,6.062016160E1,2.485020063E1,9.940528581E1,1.460768102E0,5.908964649E1,2.840556356E0,3.000000000E0
3.634990263E1,6.062016703E1,2.485022517E1,9.924921595E1,1.438847988E0,5.849402977E1,3.104603166E0,3.000000000E0
3.735006690E1,6.062017444E1,2.485024410E1,9.921889300E1,1.407453225E0,5.948290561E1,2.799305144E0,3.000000000E0
3.835022140E1,6.062017796E1,2.485026743E1,9.900159119E1,1.333020307E0,6.052048488E1,2.696470901E0,3.000000000E0
3.935036743E1,6.062018678E1,2.485029441E1,9.888620576E1,1.630582249E0,5.831128206E1,2.655086311E0,3.000000000E0
4.035050297E1,6.062019189E1,2.485031945E1,9.886116915E1,1.642695250E0,6.183724015E1,2.582533691E0,3.000000000E0
4.135063112E1,6.062019860E1,2.485034280E1,9.892215866E1,1.636720360E0,6.055954141E1,2.560343620E0,3.000000000E0
4.235075045E1,6.062020557E1,2.485036568E1,9.859776463E1,1.624910386E0,5.926915426E1,2.589515145E0,3.051639593E0
4.335086322E1,6.062021313E1,2.485038977E1,9.854247716E1,1.656270728E0,5.682306845E1,2.637451873E0,3.155946324E0
4.435096753E1,6.062021856E1,2.485041560E1,9.852619381E1,1.647194071E0,6.020208277E1,2.697135643E0,3.223509007E0
4.535106695E1,6.062022413E1,2.485044151E1,9.859463407E1,1.644648095E0,6.261693506E1,2.689285381E0,3.189800931E0
4.635115826E1,6.062023104E1,2.485046994E1,9.877593166E1,1.674737201E0,6.221831688E1,2.652986106E0,3.199016698E0
4.735124493E1,6.062023820E1,2.485049756E1,9.856006667E1,1.676065375E0,6.128577857E1,2.639332449E0,3.210656062E0
4.835132623E1,6.062024655E1,2.485052633E1,9.854721914E1,1.705073506E0,5.986511728E1,2.593665835E0,3.141587241E0
4.935140145E1,6.062025479E1,2.485055474E1,9.859049579E1,1.691480952E0,6.007840542E1,2.569725578E0,3.144315734E0
